longitude,latitude,median_age,population,vector_count
-122.23,37.88,41.0,322.0,126.0
-122.22,37.86,21.0,2401.0,1138.0
-122.24,37.85,52.0,496.0,177.0
-122.25,37.85,52.0,558.0,219.0
-122.25,37.85,52.0,565.0,259.0
-122.25,37.85,52.0,413.0,193.0
-122.25,37.84,52.0,1094.0,514.0
-122.25,37.84,52.0,1157.0,647.0
-122.26,37.84,42.0,1206.0,595.0
-122.25,37.84,52.0,1551.0,714.0
-122.26,37.85,52.0,910.0,402.0
-122.26,37.85,52.0,1504.0,734.0
-122.26,37.85,52.0,1098.0,468.0
-122.26,37.84,52.0,345.0,174.0
-122.26,37.85,52.0,1212.0,620.0
-122.26,37.85,50.0,697.0,264.0
-122.27,37.85,52.0,793.0,331.0
-122.27,37.85,52.0,648.0,303.0
-122.26,37.84,50.0,990.0,419.0
-122.27,37.84,52.0,690.0,275.0
-122.27,37.85,40.0,409.0,166.0
-122.27,37.85,42.0,929.0,366.0
-122.27,37.84,52.0,1015.0,478.0
-122.27,37.84,52.0,853.0,325.0
-122.27,37.84,52.0,1006.0,422.0
-122.28,37.85,41.0,317.0,119.0
-122.28,37.85,49.0,607.0,239.0
-122.28,37.85,52.0,1102.0,397.0
-122.28,37.84,50.0,1131.0,473.0
-122.28,37.84,52.0,395.0,155.0
-122.28,37.84,49.0,863.0,378.0
-122.28,37.84,52.0,1168.0,441.0
-122.27,37.84,48.0,1026.0,335.0
-122.27,37.83,49.0,754.0,329.0
-122.27,37.83,51.0,1258.0,536.0
-122.27,37.83,49.0,570.0,264.0
-122.27,37.83,48.0,987.0,374.0
-122.28,37.83,52.0,901.0,403.0
-122.26,37.83,52.0,689.0,309.0
-122.26,37.83,52.0,1377.0,696.0
-122.26,37.83,52.0,946.0,395.0
-122.26,37.83,51.0,517.0,249.0
-122.26,37.84,49.0,462.0,189.0
-122.26,37.84,52.0,467.0,198.0
-122.26,37.83,52.0,660.0,292.0
-122.26,37.83,52.0,718.0,382.0
-122.26,37.83,50.0,616.0,304.0
-122.27,37.82,43.0,558.0,253.0
-122.26,37.82,40.0,423.0,160.0
-122.27,37.82,40.0,700.0,352.0
-122.27,37.82,21.0,735.0,438.0
-122.27,37.82,43.0,1061.0,407.0
-122.27,37.82,41.0,1959.0,720.0
-122.27,37.82,52.0,1162.0,400.0
-122.28,37.82,52.0,701.0,233.0
-122.28,37.82,52.0,576.0,220.0
-122.28,37.82,52.0,622.0,259.0
-122.28,37.82,52.0,728.0,244.0
-122.28,37.82,52.0,1074.0,304.0
-122.29,37.82,2.0,94.0,57.0
-122.29,37.83,52.0,554.0,187.0
-122.29,37.82,49.0,86.0,23.0
-122.29,37.81,50.0,377.0,122.0
-122.3,37.81,52.0,521.0,159.0
-122.3,37.81,48.0,392.0,133.0
-122.3,37.81,52.0,604.0,187.0
-122.3,37.81,48.0,788.0,332.0
-122.29,37.8,52.0,492.0,147.0
-122.3,37.81,52.0,274.0,82.0
-122.29,37.81,46.0,1823.0,611.0
-122.29,37.81,26.0,392.0,127.0
-122.29,37.81,46.0,582.0,277.0
-122.29,37.81,49.0,560.0,152.0
-122.29,37.81,46.0,18.0,7.0
-122.29,37.81,20.0,290.0,133.0
-122.28,37.81,17.0,762.0,439.0
-122.28,37.81,36.0,1236.0,509.0
-122.28,37.81,19.0,721.0,207.0
-122.29,37.81,23.0,1054.0,325.0
-122.28,37.8,38.0,344.0,155.0
-122.28,37.81,17.0,609.0,289.0
-122.27,37.81,52.0,183.0,56.0
-122.28,37.81,52.0,200.0,87.0
-122.28,37.81,52.0,346.0,155.0
-122.28,37.81,35.0,467.0,169.0
-122.28,37.81,52.0,377.0,115.0
-122.27,37.81,40.0,582.0,380.0
-122.27,37.81,10.0,546.0,330.0
-122.27,37.8,10.0,125.0,39.0
-122.27,37.8,52.0,396.0,85.0
-122.27,37.8,16.0,800.0,362.0
-122.28,37.8,52.0,904.0,88.0
-122.28,37.8,52.0,191.0,34.0
-122.27,37.79,27.0,718.0,302.0
-122.27,37.8,39.0,1327.0,467.0
-122.26,37.8,36.0,3469.0,2323.0
-122.26,37.82,31.0,2048.0,1180.0
-122.26,37.81,29.0,202.0,91.0
-122.26,37.82,22.0,2024.0,1250.0
-122.26,37.82,37.0,1838.0,980.0
-122.25,37.81,29.0,2304.0,1250.0
-122.25,37.81,28.0,2563.0,1497.0
-122.25,37.81,39.0,389.0,228.0
-122.25,37.81,52.0,895.0,613.0
-122.26,37.81,34.0,2689.0,1789.0
-122.24,37.82,52.0,674.0,244.0
-122.24,37.81,52.0,709.0,456.0
-122.25,37.81,52.0,686.0,422.0
-122.24,37.82,52.0,1444.0,718.0
-122.25,37.82,28.0,1520.0,802.0
-122.25,37.82,52.0,550.0,253.0
-122.25,37.82,32.0,1806.0,1022.0
-122.25,37.82,26.0,1749.0,1217.0
-122.25,37.83,52.0,939.0,519.0
-122.25,37.83,35.0,675.0,422.0
-122.25,37.83,52.0,534.0,291.0
-122.25,37.83,28.0,2558.0,1661.0
-122.25,37.83,52.0,1786.0,1037.0
-122.23,37.84,50.0,970.0,373.0
-122.23,37.84,47.0,1098.0,485.0
-122.24,37.83,41.0,794.0,376.0
-122.24,37.85,37.0,98.0,47.0
-122.23,37.85,52.0,1061.0,403.0
-122.24,37.84,52.0,1177.0,555.0
-122.24,37.85,52.0,901.0,367.0
-122.22,37.85,28.0,2031.0,956.0
-122.22,37.84,50.0,1031.0,479.0
-122.21,37.84,44.0,1358.0,597.0
-122.21,37.83,40.0,1616.0,654.0
-122.2,37.84,30.0,844.0,343.0
-122.21,37.84,34.0,1140.0,496.0
-122.19,37.84,18.0,533.0,194.0
-122.2,37.84,35.0,1072.0,443.0
-122.21,37.83,34.0,1627.0,766.0
-122.19,37.83,28.0,463.0,190.0
-122.2,37.83,26.0,542.0,211.0
-122.19,37.83,29.0,661.0,269.0
-122.19,37.82,32.0,635.0,263.0
-122.2,37.82,37.0,420.0,176.0
-122.2,37.82,39.0,1265.0,500.0
-122.18,37.81,30.0,126.0,52.0
-122.21,37.82,52.0,813.0,350.0
